"","Date","ID","region","FEMorFRM","FEMorFRMtype","PM25FM","PM25cfatm","PM25cf1","b0.3um","b0.5um","b1um","b2.5um","b5um","b10um","b0.3to0.5","b0.5to1","b1to2.5","b2.5to5","b5to10","TempC","RH","Dewpoint","PM25PAlinearcor","PM25PARHcor","ratioPARHcor_FM","diffPARHcor_FM","ratiocfatm_FM","diffcfatm_FM","ratiocf1_FM","diffcf1_FM"
"1",2019-05-17,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",6.7,8.25768791658077,8.61695352332852,1154.62002319109,331.850616883117,52.0357235621521,4.65914192949907,1.8006586270872,0.815686456400742,822.769406307978,279.814893320965,47.3765816326531,2.85848330241187,0.984972170686456,18.0272633744856,38.5648148148148,3.62966242412037,6.03313750852985,6.94596331547422,1.03671094260809,0.245963315474216,1.23249073381803,1.55768791658077,1.28611246616844,1.91695352332852
"2",2019-05-18,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",3.8,3.35900488421461,3.49391633415251,603.133762886598,172.434165885661,21.9333880037488,1.70092314901593,0.721410496719775,0.492371134020619,430.699597000937,150.500777881912,20.2324648547329,0.979512652296157,0.229039362699156,16.1152803835731,49.4043151969981,5.44231799134361,3.35162965359343,3.32749692910026,0.87565708660533,-0.472503070899744,0.883948653740686,-0.440995115785394,0.919451666882239,-0.306083665847493
"3",2019-05-21,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",4,3.79960099292242,3.79960099292242,626.582346938776,180.245366419295,25.5890723562152,2.1885667903525,0.906762523191095,0.550760667903525,446.336980519481,154.65629406308,23.4005055658627,1.28180426716141,0.35600185528757,19.897633744856,29.9722222222222,1.73405101312739,3.51163157888824,5.16179081714331,1.29044770428583,1.16179081714331,0.949900248230605,-0.200399007077579,0.949900248230605,-0.200399007077579
"4",2019-05-22,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",4.7,4.36969101036657,4.36969101036657,723.777518552876,207.192987012987,27.1784090909091,2.23467996289425,0.906924860853432,0.581989795918367,516.584531539889,180.014577922078,24.9437291280148,1.32775510204082,0.324935064935065,21.3783338482134,32.4745134383689,4.16562395944478,3.81002895594167,5.24495879776901,1.11594868037639,0.544958797769013,0.929721491567355,-0.330308989633431,0.929721491567355,-0.330308989633431
"5",2019-05-19,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",3.2,3.19107078838998,3.19107078838998,505.051820728291,146.481629318394,24.984939309057,2.14439309056956,0.882549019607843,0.541797385620915,358.570191409897,121.496690009337,22.8405462184874,1.26184407096172,0.340751633986928,18.4438219732337,43.8982259570495,5.86761116124433,3.19311378111245,3.64315512224926,1.13848597570289,0.443155122249258,0.99720962137187,-0.00892921161001725,0.99720962137187,-0.00892921161001725
"6",2019-05-20,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",4.2,3.27136574074074,3.27136574074074,577.354435185185,165.254717592593,21.4952361111111,1.86272222222222,0.806134259259259,0.535810185185185,412.099717592593,143.759481481481,19.6325138888889,1.05658796296296,0.270324074074074,18.2772633744856,38.4796296296296,3.82288403630653,3.23514188621683,4.15205284400358,0.988584010477043,-0.0479471559964191,0.778896604938272,-0.928634259259259,0.778896604938272,-0.928634259259259
"7",2019-05-25,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",4,5.05790990457557,5.05941532368791,793.966621658765,227.66351205078,31.4282053614375,2.38827409297052,0.905214895554181,0.520829373668659,566.303109607985,196.235306689342,29.039931268467,1.48305919741634,0.384385521885522,21.7155802697971,35.9759036144578,5.93530653750172,4.17104549664129,5.30474478561562,1.32618619640391,1.30474478561562,1.26447747614389,1.05790990457557,1.26485383092198,1.05941532368791
"8",2019-05-26,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",17.6,25.9981666666667,35.9255740740741,4201.35091666667,1234.86491666667,210.165944444444,16.4036064814815,4.74634722222222,1.48514814814815,2966.486,1024.69897222222,193.762337962963,11.6572592592593,3.26119907407407,22.8683127572016,32.2351851851852,5.37326667330483,20.3270568790586,21.8018122946062,1.2387393349208,4.20181229460616,1.47716856060606,8.39816666666667,2.0412257996633,18.3255740740741
"9",2019-05-23,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",4.5,4.82944444444444,4.82944444444444,781.635,223.596592592593,28.8624212962963,2.32714814814815,0.969763888888889,0.549699074074074,558.038407407407,194.734171296296,26.5352731481481,1.35738425925926,0.420064814814815,17.6599794238683,43.9907407407407,5.1831269362209,4.05067379205931,4.49374206245619,0.998609347212488,-0.00625793754380588,1.07320987654321,0.329444444444444,1.07320987654321,0.329444444444444
"10",2019-05-24,"AK1","Alaska","FRM","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",2.7,2.69641203703704,2.69641203703704,500.754666666667,143.26225,18.3300555555556,1.43134722222222,0.654472222222222,0.454037037037037,357.492416666667,124.932194444444,16.8987083333333,0.776875,0.200435185185185,17.341049382716,50.1222222222222,6.78590566979735,2.93419875116333,2.84773177226981,1.05471547121104,0.147731772269808,0.998671124828532,-0.00358796296296315,0.998671124828532,-0.00358796296296315
